approval_number,predicate_number,sample_size,num_sites,significance,severity,risk_level,body_area,modality,keywords,indications_for_use,inc_exc_criteria,has_demographics,is_prospective,subtype_analysis,image_acquisition,device_classification_name,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product,classification_advisory,review_advisory,reclass_link
k170540,k132742,nan,nan,0,2,2,Breast,FFDM,,dm density is a software application intended for use with compatible full field digital mammography systems dm density calculates percent breast density defined as the ratio of fibroglandular tissue to total breast area estimates dm density provides these numerical values for each breast as well as a density category to aid interpreting physicians in the assessment of breast tissue composition dm density produces adjunctive information it is not a diagnostic aid,0,0,0,0,vendors,"system, image processing, radiological",dm-density,mo  abdolell,mo  abdolell,ken  pilgrim,892.205,llz,2/23/17,2/23/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/k170540.pdf,traditional,no,no,,,
k170747,k163285,nan,nan,1,1,2,Multiple,US,machine learning,the syngo application software is a medical software for real time viewing image manipulation 3d visualization communication and storage of medical images and data on exchange media it is used for diagnostic image viewing and post processing and for viewing and post processing during interventional procedures the syngo application software can be deployed on independent hardware such as a stand alone diagnostic review post processing and reporting workstation it can also be configured within a network to send and receive dicom data furthermore the syngo application software can be deployed on systems of the siemens angiography system family it provides image guided solutions in the operating room for image guided surgery by image fusion and by navigation systems image guided solutions in interventional cardiology and electrophysiology and image guided solutions for interventional oncology interventional radiology and interventional neuroradiology the syngo application software can also be combined with fluoroscopy systems or radiographic systems the syngo application software can be configured with a variety of syngo or windows based software options which are intended to assist the physician in diagnosis treatment planning and treatment control it includes commercially available post processing techniques and oem options procedures that can be performed include minimally invasive surgical procedures and minimally invasive tumor treatment,0,0,0,,,"system, image processing, radiological",syngo application software,patricia d. jones,patricia d. jones,patricia d. jones,892.205,llz,3/10/17,6/9/17,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/k170747.pdf,traditional,no,no,,,
k171315,k033840;k092868,1598,5,0,1,1,Cellular,Microscope,neural network,,0,1,0,,,"device, automated cell-locating",advanced rbc application,cella  vision ab,cella  vision ab,constance g. bundy,864.526,joy,5/4/17,8/1/17,substantially equivalent     (sese),hematology,hematology,http://www.accessdata.fda.gov/cdrh_docs/reviews/k171315.pdf,traditional,no,no,,,
k172356,k153101,nan,nan,0,1,1,Bladder,Ultrasound,neural network,The BladderScan® PRIME PLUS System is an Ultrasound device intended to be used for measuring urine volume of the bladder non-invasively. Clinical Application: Abdominal B-Mode (Bladder),0,0,0,,yes,"system, imaging, pulsed echo, ultrasonic",bladderscan prime plus system,swapna  chirala,swapna  chirala,mark  job,892.156,iyo,8/3/17,9/15/17,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/k172356.pdf,traditional,yes,no,,,
k173420,k103576,nan,nan,1,1,2,Multi,"CT,MR",machine learning,microsoft radiomics app v1 0 is a software only medical device intended for use by trained radiation oncologists dosimetrists and physicists to derive optimal organ and tumor contours for input to radiation treatment planning supported image modalities are computed tomography and magnetic resonance radiomics app assists in the following scenarios load save and display of medical images and contours for treatment evaluation and treatment planning creation transformation and modification of contours for applications including but not limited to transferring contours to radiotherapy treatment planning systems aiding adaptive therapy and archiving contours for patient follow up localization and definition of both solid tumors and healthy anatomical structures fusion display of compatible images for treatment planning three dimensional rendering of medical images and the segmented contours images reviewed using the radiomics app software should not be used for primary image interpretations radiomics app is not for use with digital mammography,0,0,0,,,"system, image processing, radiological",radiomics app v1.0,ivan  tarapov,ivan  tarapov,donna-bea  tillman,892.205,llz,11/1/17,12/27/17,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/k173420.pdf,traditional,no,no,,,
k173542,k101749;k163253,nan,nan,1,2,3,Multiple,"CT,MR",deep learning,arterys oncology dl is a medical diagnostic application for viewing manipulation 3d visualization and comparison of medical images from multiple imaging modalities and or multiple time points the application supports anatomical datasets such as ct or mr the images can be viewed in a number of output formats including mip and volume rendering arterys oncology dl enables visualization of information that would otherwise have to be visually compared disjointedly arterys oncology dl provides analytical tools to help the user assess and document changes in morphological activity at diagnostic and therapy follow up examinations arterys oncology dl is designed to support the oncological workflow by helping the user confirm the absence or presence of lesions including evaluation quantification follow up and documentation of any such lesions note the clinician retains the ultimate responsibility for making the pertinent diagnosis based on their standard practices and visual comparison of the separate unregistered images arterys oncology dl is a complement to these standard procedures,0,0,0,0,,"system, image processing, radiological",arterys oncology dl,john  axerio-cilies,john  axerio-cilies,john  axerio-cilies,892.205,llz,11/16/17,1/25/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/k173542.pdf,traditional,no,no,,,
k173780,k130779,300,nan,1,2,3,Heart,Echocardiography,neural network;machine learning,the bay labs inc echomd automated ejection fraction software is used to process previously acquired transthoracic cardiac ultrasound images to store images and to manipulate and make measurements on images using a personal computer or a compatible dicom compliant pacs system in order to provide automated estimation of left ventricular ejection fraction this measurement can be used to assist the clinician in a cardiac evaluation the echomd automated ejection fraction software is indicated for use in adult patients,0,0,0,0,image clips,"system, image processing, radiological",echomd automated ejection fraction software,charles  cadieu,charles  cadieu,yarmela  pavlovic,892.205,llz,12/12/17,6/14/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf17/k173780.pdf,traditional,no,no,,,
k180161,k121447,nan,nan,1,1,2,Head,CT,,viz ctp is an image processing software package to be used by trained professionals including but not limited to physicians and medical technicians the software runs on a standard off the shelf computer or a virtual platform such as vmware and can be used to perform image processing analysis and communication of computed tomography ct perfusion scans of the brain data and images are acquired through dicom compliant imaging devices viz ctp provides both analysis and communication capabilities for dynamic imaging datasets that are acquired with ct perfusion imaging protocols analysis includes calculation of parameters related to tissue flow perfusion and tissue blood volume results of image processing which include ct perfusion parameter maps generated from a raw ctp scan are exported in the standard dicom format and may be viewed on existing radiological imaging viewers,0,0,0,0,,"system, image processing, radiological",viz ctp,gregory  ramina,gregory  ramina,gregory  ramina,892.205,llz,1/19/18,4/20/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k180161.pdf,traditional,no,no,,,
k180343,k021746,100,3,1,0,1,Reproductive,nan,artificial intelligence,"LensHooke X1 Semen Quality Analyzer The LensHooke X1 Semen Quality Analyzer used with LensHooke Semen Test Cassette is an optical device for human semen analysis which provides direct and calculated quantitative measurements for: - Sperm concentration (106 per ml) - Total motility (PR+NP, %) - Sperm morphology (normal forms, %) - pH value The LensHooke X1 Semen Quality Analyzer does not provide a comprehensive evaluation of a male’s fertility status. It is a self-testing, in vitro diagnostic system intended for human semen analysis of individuals at home to evaluate male fertility. The systems are intended for single person use only and should not be shared. LensHooke X1 PRO Semen Quality Analyzer The LensHooke X1 PRO Semen Quality Analyzer used with LensHooke Semen Test Cassette is an optical device for human semen analysis which provides direct and calculated measurements for: (1) Sperm concentration (106 per ml) (2) Total motility (PR+NP, %) - Progressive motility (%) - Non-Progressive motility (%) (3) Sperm morphology (normal forms, %) (4) pH value The LensHooke X1 PRO Semen Quality Analyzer does not provide a comprehensive evaluation of a male’s fertility status. It is an in vitro diagnostic system intended for human semen analysis of individuals in healthcare professional setting to evaluate male fertility.",0,1,0,,,semen analysis device,"lenshooke x1 pro semen quality analyzer, lenshooke x1 semen quality analyzer",clare  huang,clare  huang,feng-yu  lee,864.522,pov,2/7/18,11/16/18,substantially equivalent     (sese),hematology,hematology,http://www.accessdata.fda.gov/cdrh_docs/reviews/k180343.pdf,traditional,no,no,,,
k180432,k052883;k113485,nan,nan,1,1,2,Heart,ECG,,the ai ecg platform is designed to assist physicians in measuring and interpreting 12 lead resting ecg and the interpretation by the analysis program may then be confirmed edited or deleted by the physician the program is intended for use by qualified healthcare professionals in hospitals and other healthcare facilities for the assessment of common cardiac abnormalities including arrhythmias myocardial infarction ventricular hypertrophy and abnormal st t changes the ai ecg platform interpretation results are not intended to be the sole means of diagnosis for any abnormal ecg they are offered to physicians and clinicians on an advisory basis only in conjunction with the physician s knowledge of ecg the ai ecg platform is qualified for use in the general adult population ranging from healthy subjects to patients with cardiac and or non cardiac abnormalities the ai ecg platform is used with compatible resting ecg devices which can export ecg recordings in carewell ecg hl7 aecg dicom ecg scp ecg or mfer ecg data format the ai ecg platform is not to be used for patient monitoring on ecg signals collected using non standard leads ecg signals not collected using electrodes with conductive paste gel fluid,0,0,0,0,,"computer, diagnostic, programmable",ai-ecg platform,chang  liu,chang  liu,arthur  goddard,870.1425,dqk,2/20/18,11/19/18,substantially equivalent     (sese),cardiovascular,cardiovascular,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k180432.pdf,traditional,no,no,,,
k180647,den170073,300,2,1,2,3,Head,CT,deep learning;artificial intelligence,briefcase is a radiological computer aided triage and notification software indicated for use in the analysis of non enhanced head ct images the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of pathologies in head ct images namely intracranial hemorrhage ich briefcase uses an artificial intelligence algorithm to analyze images and highlight cases with detected ich on a standalone desktop application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected ich findings notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of briefcase are intended to be used in conjunction with other patient information and based on professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care,0,0,0,0,dicom fields,radiological computer-assisted triage and notification software,briefcase,nimrod  epstein,nimrod  epstein,john j. smith,892.208,qas,3/12/18,8/1/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k180647.pdf,traditional,no,no,,,
k181502,k163512,nan,nan,1,1,2,Heart,ECG,deep learning;machine learning,the device intended to capture analyze and report symptomatic and asymptomatic cardiac events and continuous electrocardiogram information for long term monitoring while continuously recording patient ecg both patient triggered and automatically detected arrhythmia events are transmitted to a monitoring center for reporting after wear a final report is generated based on the beat to beat information from the entire ecg recording it is indicated for use on patients 18 years or older who may be asymptomatic or who may suffer from transient symptoms such as palpitations shortness of breath dizziness light headedness pre syncope syncope fatigue or anxiety and patients who are asymptomatic the reports are provided for review by the intended user to render a diagnosis based on clinical judgment and experience it is not intended for use on critical care patients,0,0,0,,,"computer, diagnostic, programmable","zio at ecg monitoring system, zeus system",rich  laguna,rich  laguna,rich  laguna,870.1425,dqk,6/7/18,8/29/18,substantially equivalent     (sese),cardiovascular,cardiovascular,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k181502.pdf,traditional,no,no,,,
k181572,k130393,nan,nan,1,1,2,Multiple,"CT,MR,RSTRUCT",machine learning,,0,0,0,,,"system, image processing, radiological",workflow box,gwilym  owen,gwilym  owen,mark  job,892.205,llz,6/14/18,7/10/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k181572.pdf,traditional,yes,no,,,
k181685,k173341;k082185,nan,nan,1,1,2,Multiple,US,neural network,vivid e80 vivid e90 vivid e95 is a general purpose ultrasound system specialized for use in cardiac imaging it is intended for use by or under the direction of a qualified physician for ultrasound imaging and analysis of fetal obstetrics abdominal including renal and gyn pediatric small organ breast testes thyroid neonatal cephalic adult cephalic cardiac adult and pediatric peripheral vascular pv musculo skeletal conventional musculo skeletal superficial urology including prostate transesophageal transrectal tr transvaginal tv and intraoperative abdominal thoracic vascular,0,0,0,,,"system, imaging, pulsed doppler, ultrasonic","vivid e80, vivid e90, vivid e95",tracey  ortiz,tracey  ortiz,tracey  ortiz,892.155,iyn,6/26/18,10/25/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k181685.pdf,traditional,no,no,,,
k181704,den180005,240,2,2,2,4,Breast,Ultrasound,machine learning,the screenpoint transpara system is intended for use as a concurrent reading aid for physicians interpreting screening mammograms to identify regions suspicious for breast cancer and assess their likelihood of malignancy output of the device includes marks placed on suspicious soft tissue lesions and suspicious calcifications region based scores displayed upon the physician s query indicating the likelihood that cancer is present in specific regions and an overall score indicating the likelihood that cancer is present on the mammogram patient management decisions should not be made solely on the basis of analysis by transpara,0,0,0,,vendors,radiological computer assisted detection/diagnosis software for lesions suspicious for cancer,transpara,nico  karssemeijer,nico  karssemeijer,nico  karssemeijer,892.209,qdq,6/27/18,11/21/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k181704.pdf,traditional,no,no,,,
k181939,k161148;k180326,544,nan,1,2,3,Head,"CT,MR",neural network;machine learning,icobrain is intended for automatic labeling visualization and volumetric quantification of segmentable brain structures from a set of mr or ncct images this software is intended to automate the current manual process of identifying labeling and quantifying the volume of segmentable brain structures identified on mr or ncct images icobrain consists of two distinct image processing pipelines icobrain cross and icobrain long icobrain cross is intended to provide volumes from mr or ncct images acquired at a single time point icobrain long is intended to provide changes in volumes between two mr images that were acquired on the same scanner with the same image acquisition protocol and with same contrast at two different timepoints the results of icobrain cross cannot be compared with the results of icobrain long,0,0,0,1,,"system, image processing, radiological",icobrain,jan  verheyden,jan  verheyden,jan  verheyden,892.205,llz,7/19/18,11/6/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k181939.pdf,traditional,no,no,,,
k182034,k173542;k171544;k163253,nan,nan,1,2,3,Multiple,"CT,MR",,"Indications for Use Statement for Arterys MICA with optional Cardio and Oncology modules: Arterys® MICA software is a medical diagnostic application that displays, processes, stores, and transfers DICOM and non-DICOM medical data, with the exception of mammography. It provides the capability to store images and patient information, and perform filtering, digital manipulation, and quantitative measurements. The client software is designed to run on standard personal and business computers. Arterys MICA includes an optional Cardio AI module which is used to analyze the heart and its major vessels using multi-slice, multi-phase, and velocity-encoded cardiovascular magnetic resonance (MR) images. It provides clinically relevant and reproducible, quantitative data, and has been tested and validated on MR images acquired from both 1.5T and 3.0 T MR Scanners. Arterys MICA includes an optional Oncology AI module which provides analytical tools to help the user assess and document changes in morphological activity at diagnostic and therapy follow-up examinations. It is a tool used to support the oncological workflow by helping the user confirm the absence or presence of lesions, including evaluation, quantification, follow-up, and documentation of any such lesions. Arterys MICA software is intended to be used as a support tool by trained healthcare professionals to aid in diagnosis. It is intended to provide image and related information that is interpreted by a trained professional to render findings and/or diagnosis, but it does not directly generate any diagnosis or potential findings.",0,0,0,0,MR scanners,"system, image processing, radiological",arterys mica,sharon  cholowsky,sharon  cholowsky,sharon  cholowsky,892.205,llz,7/30/18,10/17/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182034.pdf,traditional,no,no,,,
k182177,den170073;k180647,360,30,1,2,3,Head,CT,deep learning;artificial intelligence,,0,0,0,0,,radiological computer-assisted triage and notification software,accipiolx,joshua  schulman,joshua  schulman,joshua  schulman,892.208,qas,8/10/18,10/26/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182177.pdf,traditional,no,no,,,
k182218,k124065;den130012;k043271,60,nan,1,1,2,Abdomen,MR,neural network;artificial intelligence,ferrismart is indicated to measure liver iron concentration in individuals with confirmed or suspected systemic iron overload monitor liver iron burden in transfusion dependent thalassemia patients and patients with sickle cell disease receiving blood transfusions aid in the identification and monitoring of non transfusion dependent thalassemia patients receiving therapy with deferasirox,0,0,0,0,,liver iron concentration imaging companion diagnostic for deferasirox,ferrismart analysis system,celine  royet,celine  royet,celine  royet,892.1001,pcs,8/15/18,11/30/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182218.pdf,traditional,no,no,,,
k182336,k063391,nan,nan,1,1,2,Multiple,"FDG, PET,PET/CT, PET/MR",neural network,,0,0,0,0,,"system, tomography, computed, emission",subtlepet,enhao  gong,enhao  gong,terese  bogucki,892.12,kps,8/28/18,11/30/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182336.pdf,traditional,no,no,,,
k182373,den180005,260,nan,2,2,4,Breast,Digital Breast Tomosynthesis,deep learning;machine learning,powerlook tomo detection v2 software is a computer assisted detection and diagnosis cad software device intended to be used concurrently by interpreting physicians while reading digital breast tomosynthesis dbt exams from compatible dbt systems the system detects soft tissue densities masses architectural distortions and asymmetries and calcifications in the 3d dbt slices the detections and certainty of finding and case scores assist interpreting physicians in identifying soft tissue densities and calcifications that may be confirmed or dismissed by the interpreting physician,0,0,0,1,vendors,radiological computer assisted detection/diagnosis software for lesions suspicious for cancer,powerlook tomo detection v2 software,john  delucia,john  delucia,john  delucia,892.209,qdq,8/31/18,12/6/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182373.pdf,traditional,no,no,,,
k182513,k172091;k150052;k140079,18,3,1,1,2,Immune,nan,neural network,"The FluChip-8G Influenza A+B Assay system is a molecular assay system for the detection and differentiation of influenza viruses in which a multiplexed one-step RT-PCR amplification is coupled with downstream microarray-based hybridization, imaging, and subsequent influenza virus detection and characterization using a pattern recognition-based algorithm. The system consists of the following: 1) A reagent kit comprising the reagents required to conduct RT-PCR and for performing 4 post-PCR sample processing including PCR product fragmentation, microarray hybridization, washing, fluorescent labeling, and drying. 2) An accessory kit comprising a variety of laboratory equipment and supplies for facilitating execution of the assay. 3) Other general laboratory equipment and supplies required but not provided. 4) The FluChip-8G Imaging System with pre-installed FluChip-8G Software including an image processing module, an underlying neural network-based pattern recognition algorithm for identifying patterns in microarray signals representative of certain influenza target virus groups, and a user interface to facilitate data entry/imaging and provide result reports to the end user.",1,1,1,,nan,influenza a and influenza b multiplex nucleic acid assay,fluchip-8g influenza a+b assay,erica  dawson,erica  dawson,erica  dawson,866.398,oze,9/12/18,4/22/19,substantially equivalent     (sese),microbiology,microbiology,http://www.accessdata.fda.gov/cdrh_docs/reviews/k182513.pdf,traditional,no,no,,,
k182564,k173939,89,nan,1,2,3,Head,MR,,quantib nd is a non invasive medical imaging processing application that is intended for automatic labeling visualization and volumetric quantification of segmentable brain structures from a set of magnetic resonance mr images the quantib nd output consists of segmentations visualizations and volumetric measurements of brain structures and white matter hyperintensities volumetric measurements may be compared to reference centile data it is intended to provide the trained medical professional with complementary information for the evaluation and assessment of mr brain images and to aid the trained medical professional in quantitative reporting quantib nd is a software application on top of myrian,0,0,0,1,,"system, image processing, radiological",quantib nd,floor van leeuwen,floor van leeuwen,floor van leeuwen,892.205,llz,9/18/18,12/27/18,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182564.pdf,traditional,no,no,,,
k182616,k153479,600,18,1,1,2,Multi,CT,neural network;deep learning;machine learning;artificial intelligence,the nvisionvle imaging system is indicated for use as an imaging tool in the evaluation of human tissue microstructure including esophageal tissue microstructure by providing two dimensional cross sectional real time depth visualization and may be used to mark areas of tissue the software provides segmentation and display of common imaging features including hyper reflective surface layering and hypo reflective structures the nvisionvle imaging system is intended to provide an image of tissue microstructure the safety and effectiveness of this device for diagnostic analysis i e differentiating normal versus specific abnormalities in any tissue microstructure or specific disease has not been evaluated,0,0,0,,,"system, imaging, optical coherence tomography (oct)","nvisionvle imaging system, nvisionvle optical probe, nvisionvle inflation system",eman  namati,eman  namati,eman  namati,892.156,nqq,9/21/18,11/2/18,se - with limitations     (sesu),radiology,general & plastic surgery,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182616.pdf,traditional,no,no,,,
k182875,den170073;k180647,260,5,1,2,3,Head,CT,neural network;deep learning;artificial intelligence,deepct is a notification only parallel workflow tool for use by hospital networks and trained clinicians to identify and communicate images of specific patients to a specialist independent of standard of care workflow deepct uses an artificial intelligence algorithm to analyze images for findings suggestive of a pre specified clinical condition and to notify an appropriate medical specialist of these findings in parallel to standard of care image interpretation identification of suspected findings is not for diagnostic use beyond notification specifically the device analyzes non contrast ct images of the brain acquired in the acute setting and sends notifications to a specialist that a suspected ich intracranial hemorrhage has been identified and recommends review of those images notified clinicians are responsible for viewing non contrast ct images of the brain on a diagnostic viewer and engaging in appropriate patient evaluation and relevant discussion with a treating specialist before making care related decisions or requests deepct is limited to analysis of imaging data and should not be used in lieu of full patient evaluation or relied upon to make or confirm diagnosis,0,0,0,0,,radiological computer-assisted triage and notification software,deepct,william  lai,william  lai,william  lai,892.208,qas,10/12/18,7/10/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182875.pdf,traditional,no,no,,,
