,title,pdf_link,approval_number,company,indications_for_use,product_code,body_area,modality,predicate,performance,validation,related_use_cases,date_cleared
10,AI-Rad Companion- Cardiovascular,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183268.pdf,K183268,"Siemens Medical Solutions USA, Inc.","Software provides quantitative and qualitative analysis from previously acquired Computed Tomography DICOM images to support radiologists and physicians from emergency medicine, specialty care, urgent care, and general practice in the evaluation and assessment of cardiovascular diseases.","JAK, LLZ",Heart,CT,"syngo.CT Calcium Scoring (K990426), syngo.CT Cardiac Function (K123585)","Software validations, bench testing, and clinical data-based software validations have been conducted to the performance claims as well as the claim of substantial equivalence to the predicate devices.","For clinical validation the following algorithms underwent a scientific evaluation: Segmentation of heart, detection of coronary calcium, segmentation of aorta, detection of aortic landmarks, aorta diameter measurements, and threshold-based categorization of diameter measurements. The performance of the device has been validated in retrospective performance studies on non-cardiac chest CT data from multiple clinical sites across US.",None,9/10/2019
11,AI-Rad Companion- Musculoskeletal,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193267.pdf,K193267,"Siemens Medical Solutions USA, Inc.",Software provides quantitative and qualitative analysis of previously acquired CT DICOM images to support radiologists and physicians in the evaluation and assessment of musculoskeletal disease.,JAK,Spine,CT,syngo.CT Bone Reading,"Software validations, bench testing, and clinical data-based software validations have been conducted to the performance claims as well as the claim of substantial equivalence to the predicate devices.","For clinical validation, the algorithms for vertebrae segmentation, vertebra height and vertebra density measurements underwent scientific evaluation. The device has been validated in retrospective performance study on chest CT data. Performance was consistent for all critical subgroups, such as vendors or reconstruction parameters and patient age.",None,3/16/2020
12,AI-Rad Companion Prostate MR,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193283.pdf,K193283,"Siemens Medical Solutions USA, Inc.","AI-Rad Companion Prostate MR is a post-processing image analysis software that assists clinicians in viewing, manipulating, analyzing, and evaluating MR prostate images.","QIH, LNH",Prostate,MR,Syngo.MR Applications,Software validation and bench testing have been conducted,None,None,7/30/2020
13,AI-Rad Companion-Pulmonary,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183271.pdf,K183271,"Siemens Medical Solutions USA, Inc.","Software provides quantitative and qualitative analysis from previously acquired Computed Tomography DICOM images to support radiologists and physicians from emergency medicine, specialty care, urgent care, and general practice in the evaluation and assessment of disease of the lungs.","JAK, LLZ",Lungs,CT,syngo.CT Pulmo 3D (K123540),"Software validations, bench testing, and clinical data-based software validations have been conducted to the performance claims as well as the claim of substantial equivalence to the predicate devices.","For clinical validation the algorithms segmentation of lung lobes and evaluation of the lung parenchyma underwent scientific evaluation. Pulmonary device has been validated in a retrospective performance study (n > 4,500 CT data sets from multiple clinical sites from within and outside US). All performance results were superior to the ones achieved using the predicate device supporting substantial equivalence.",None,7/26/2019
14,AlphaPoint Imaging Software,https://www.accessdata.fda.gov/cdrh_docs/pdf12/K120161.pdf,K120161,"RadLogics, Inc.","The AlphaPoint software is a device that allows review, analysis, and interchange of CT chest images. The software provides segmentation and hounsfield numerical analysis values which are indicative of various substances.",LLZ,Chest,CT,Vitrea 2 (K060378),The AlphaPoint software has been verified and validated according to the company's design control process. It was tested for compliance with the DICOM standard and passed the six DICOM specific test cases provided in section 4.4.4.2 of the Validation Test Report. The software development process complies with FDA Guidance documents related to software in Medical Devices.,None,None,4/13/2012
15,Arterys Cardio DL,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K163253.pdf,K163253,"Arterys, Inc.",Arterys Cardio DL is a web-accessible image post-processing analysis software device used for viewing and quantifying cardiovascular MR images. The device is intended to visualize and quantify MRI data in DICOM format.,LLZ,Heart,MR,"Arterys Software v2.0 , Medis Imaging QMass",Safety and performance of Arterys Cardio DL has been evaluated and verified in accordance with software specifications and applicable performance standards through software verification and validation testing.,None,"Flow in Ascending Aorta (Partial) , Flow in Pulmonary Artery(Partial) , Pulmonary to Systemic Flow Ratio(Partial), Left Ventricle Volume(Partial), Cardiac Outputs(Partial)",1/5/2017
16,Arterys Oncology DL,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K173542.pdf,K173542,Arterys Inc.,"Arterys Oncology DL is a medical diagnostic application for viewing, manipulation, 3D- visualization and comparison of medical images from multiple imaging modalities and/or multiple time-points.",LLZ,All,"CT,MR",syngo TrueD (K101749),"The safety and performance of Arterys Oncology DL has been evaluated and verified in accordance with software specifications and applicable performance standards through software verification and validation testing. Non-clinical verification and validation test results established that the device meets its design requirements and intended use, that it is as safe and as effective as the predicate devices, and that no new issues of safety and effectiveness were raised.",None,None,1/25/2018
17,Broncholab,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191550.pdf,K191550,Fluidda Inc. ,"Broncholab provides physicians with reproducible CT values for pulmonary tissue for providing quantitative support for diagnosis and follow-up examination. Broncholab can be used to support physicians in the diagnosis and documentation of pulmonary tissues images (e.g., abnormalities) from CT thoracic datasets. Three-D segmentation and isolation of subcompartments, volumetric analysis, density evaluations, low density cluster analysis, fissure evaluation and reporting tools are combined with a dedicated workflow.",JAK,Chest,CT,VIDA Pulmonary Workstation 2,Verification testing was conducted against predetermined acceptance criteria to show that the subject device performs the functions that are equivalent to the predicate device. Broncholab successfully passed verification testing. Design validation was performed in simulated use settings. The results support substantial equivalence of the subject device to the predicate device and demonstrate that it is safe and effective for its intended use.,None,None,3/4/2020
18,Caption Interpretation Automated Ejection Fraction Software,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200621.pdf,K200621,Caption Health,"The Caption Interpretation Automated Ejection Fraction software is used to process previously acquired
transthoracic cardiac ultrasound images, to store images, and to manipulate and make measurements on
images using an ultrasound device, personal computer, or a compatible DICOM-compliant PACS system in
order to provide automated estimation of left ventricular ejection fraction. This measurement can be used to
assist the clinician in a cardiac evaluation.",QIH,Heart,Ultrasound,EchoMD Automated Ejection Fraction Software,Software verification and validation testing were conducted,Caption Interpretation AutoEF was the subject of a pivotal clinical investigation to validate successful performance of the EF calculation in comparison to conventional EF calculation methods.,Left Ventricle Volume,7/22/2020
19,CINA,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K200855.pdf,K200855,AVICENNA.AI,"CINA is a radiological computer aided triage and notification software indicated for use in the analysis of (1) nonenhanced head CT images and (2) CT angiographies of the head. The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communicating suspected positive findings of (1) head CT images for Intracranial Hemorrhage (ICH) and (2) CT angiographies of the head for large vessel occlusion (LVO).
 
CINA uses an artificial intelligence algorithm to analyze images and highlight cases with detected (1) ICH or (2) LVO on a standalone Web application in parallel to the ongoing standard of care image interpretation. The user is presented with notifications for cases with suspected ICH or LVO findings.",QAS,Head,CT,BriefCase for ICH,The CINA device has been evaluated and verified in accordance with software specifications and applicable performance standards through Software Development and Validation and Verification process.,"Avicenna.AI conducted a retrospective, blinded, multicenter, multinational study with the CINA software with the primary endpoint to evaluate the software's performance in CT head images suspected of ICH and CTA head series with suspected LVO findings.",None,6/24/2020
20,ClearRead and Confirm,https://www.accessdata.fda.gov/cdrh_docs/pdf12/K123526.pdf,K123526,"Riverain Technologies, LLC.","ClearRead + Confirm is a dedicated post-processing application that generates an enhanced, secondary digital radiographic image of the chest to facilitate confirmation of line/tubes.",LLZ,Chest,Radiograph,"ClearRead Bone Suppression (SoftView) (K092363) , DRX-Revolution (K120062)",Functional verification testing and development validation were conducted to verify that the design output met the design input requirements.,"Clinical validation was conducted in a MRMC study to validate that the device conformed to the defined user needs and intended uses. The reader study measured the reduction in time required by the radiologists to localize the tips of tubes, lines, and electrical cardiac wires (TLW) when using ClearRead +Confirm., The study also measured the radiologists' accuracy in localizing the TLW when using ClearRead +Confirm. ClearRead Confirm was found to significantly decrease read times in analyses both including and excluding outliers. The difference from true locations in ClearRead Confirmn reads and unaided reads were not found to be statistically significant. The results indicated that ClearRead +Confirm is a useful adjunct for the interpretation of chest radiographs when looking for TLW.",None,12/27/2012
21,ClearRead CT,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K161201.pdf,K161201,"Riverain Technologies, LLC ",ClearRead CT™ is comprised of computer assisted reading tools designed to aid the radiologist in the detection of pulmonary nodules during review of CT examinations of the chest on an asymptomatic population.,"OEB, LLZ",Chest,CT,"syngo.CT Lung CAD(K143196) , syngo.PET&CT Oncology(K093621) , ClearRead Bone Suppression (SoftView)(K092363)",None,"A MRMC was performed to validate that the device conformed to the defined user needs and intended uses. The reader study measured the AUC of the localization ROV response when using ClearRead CT relative to the unaided read. The study also measured the radiologists’ interpretation time when using ClearRead CT relative to unaided interpretations. ClearRead Ct was found to significantly increase the AUC, indicating use of the device is superior to the unaided read for detecting nodules. ClearRead CT was found to decrease read times with and without outliers.",Incidental Pulmonary Nodules on CT,9/9/2016
22,ClearView cCAD,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K161959.pdf,K161959,"ClearView Diagnostics, Inc.",ClearView cCAD is a software application designed to assist skilled physicians in analyzing breast ultrasound images. It automatically classifies shape and orientation characteristics of user-selected regions of interest. this device uses multivariate pattern recognition methods to perform characterization and classification of images.,LLZ,Breast,Ultrasound,BCAD (K050846),"Bench testing was performed to ascertain the degree of concordance with skilled physicians. Ground truth for shape and orientation supplied by three MQSA certified skilled physicians. System was analyzed on 1204 cases which had majority decision on shape and 1227 lesions which had majority decision on orientation. Clearview cCAD system was able to achieve overall accuracy that fell within the 95% confidence interval of the radiologist performance, rendering them statistically equivalent.",None,Breast Density Quantification(Partial),12/28/2016
23,cmTriage,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183285.pdf,K183285,"CureMetrix, Inc.","A Passive notification for prioritization-only, parallel- workflow software tool used by radiologists to prioritize specific patients within the standard-of-care image worklist for 2D screening mammograms. It flags those that are suggestive of the presence of at least one suspicious finding at the exam level.",QFM,Breast,Full Field Digital Mammography (FFDM),Viz.AI ContaCT (DEN170073),None,"CureMetrix conducted a retrospective, blinded, multi-center study of the cmTriage software. A primary endpoint goal established to validate that cmTriage operates at a 95% CI for both sensitivity and specificity above the 80% CI reported in the BCSC. 
A secondary endpoint was established to determine time performance of cmTriage to ensure that mammograms can be processed, and notification results returned for use by radiologists within minutes which is clinically acceptable. The dataset consists of 1255 mammographic studies. Overall cmTraiage was able to demonstrate an AUC of .951 with a 95% CI of 0.937 to 0.964 on this dataset.",None,3/8/2019
24,cNeuro cMRI,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K171328.pdf,K171328,Combinostics Oy         ,"cNeuro cMRI is intended for automatic labeling, quantification and visualization of segmentable brain structures from a set of MR images. The software is intended to automate the current manual process of identifying, labeling and quantifying the segmentable brain structures identified on MR images.",LLZ,Brain,MR,"NeuroQuant (K061855), icobrain (K161148)",None,"To demonstrate the performance of cNeuro cMRI, the compute volumes of brains structures were validated for accuracy and reproducibility. Test data included data from healthy subjects, and patients with neurodegenerative diseases. In the accuracy experiments, cNeuro cMRI fully automated brain segmentation was compared to manually labeled ground truth data. In the reproducibility experiments, the volumes were compared using test-retest data. The experiments included data from 1399 subjects in total.",None,1/8/2018
25,ContaCT,https://www.accessdata.fda.gov/cdrh_docs/reviews/DEN170073.pdf,DEN170073,"Viz.ai, Inc.","ContaCT is a notification-only, parallel workflow tool for use by hospital networks and trained clinicians to identify and communicate images of specific patients to a specialist, 2 independent of standard of care workflow.",QAS,Brain,CT,None,"VIz.AI conducted a retrospective study to assess the sensitivity and specificity of the image analysis algorithm and notification functionality of ContaCT against a ground truth as established by a neuroradiologist in the detection of large vessel occlusions (LVO) in the brain. Three hundred CT angiogram images were obtained from two clinical sites in the U.S. There were approximately equal numbers of positive and negative cases. All studies were reviewed by neuroradiologists to establish the Ground truth, each study was reviewed to determine if the image contained image features consistent with an LVO, and thus required further review. The sensitivity is 87.8%, specificity 89.6%, and AUC .91. The average time for radiologists to review study is 58.72 minutes in standard of care. While the time to notification average of CotnaCT is 7.32 minutes.",None,None,2/13/2018
26,Critical Care Suite,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K183182.pdf,K183182,"GE Medical Systems, LLC.",Computer aided triage and notification device that analyzes frontal chest x-ray images for the presence of prespecified critical findings (pneumothorax). Critical Care Suite identifies images with critical findings to enable case prioritization or triage in the PACS/workstation.,QFM,Chest,X-Ray,HealthPNX (K190362),None,"Critical Care suite was evaluated on a dataset of 804 frontal chest X-rays collected in North America and representative of the intended population. The algorithm prediction is compared to the ground truth established by 3 radiologists. The AUC= 96%, sensitivity is 84.35, and specificity is 93.5%.",Pneumothorax,8/12/2019
27,CT CoPilot,https://www.accessdata.fda.gov/cdrh_docs/pdf16/K161322.pdf,K161322,"ZepMed, LLC. ","CT CoPilot is intended for automatic labeling, visualization and volumetric quantification of segmentable structures from sets of CT images of the brain. This software is intended to automate the current manual process of identifying, labeling and quantifying structures identified on CT images of the brain and to provide automated registration and reformatting of data.",LLZ,Head,CT,NeuroQuant (K061855),Various laboratory testing was performed. 1) 100 randomly acquired CT head scans on both normal patients and those with abnormal pathologies. 2) 179 scans from 34 patients with ventriculostomy catheters 3) Laboratory testing of CT CoPilot segmentation reliability demonstrates equivalent test-retest performance as expert manually segmented subjects.,None,Midline Shift (Partial),12/7/2016
28,CuraRad-ICH,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192167.pdf,K192167,CuraCloud Corporation,CuraRad-ICH is a software workflow tool designed to aid in prioritizing the clinical assessment of adult non-contrast head CT cases with features suggestive of acute intracranial hemorrhage. CuraRad-ICH analyzes cases using deep learning algorithms to identify suspected ICH findings. It makes case-level output available to a PACS/workstation for worklist prioritization or triage.,QAS,Head,CT,Accipolx,None,"CuraCloud conducted a retrospective, blinded, multisite clinical validation study with CuraRad-ICH. The primary endpoint evaluates the performance of the software in identifying ICH findings from non-contrast head CT scans on a validation dataset of 388 CT studies 296 imaging facilities across US.",None,4/13/2020
29,DeepCT,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182875.pdf,K182875,Deep01 Limited,"DeepCT is a notification-only, parallel workflow tool for use by hospital networks and trained clinicians to identify and communicate images of specific patients to a specialist, independent of standard of care workflow.
DeepCT uses an artificial intelligence algorithm to analyze images for findings suggestive of a pre-specified clinical condition and to notify an appropriate medical specialist of these findings in parallel to standard of care image interpretation. Identification of suspected findings is not for diagnostic use beyond notification. Specifically, the device analyzes non-contrast CT images of the brain acquired in the acute setting and sends notifications to a specialist that a suspected ICH (intracranial hemorrhage) has been identified and recommends review of those images.",QAS,Head,CT,"ContaCT, BriefCase",Software verification and validation testing were conducted.,"Deep01 conducted a retrospective, multicenter, multinational study with the DeepCT software with the primary endpoint to evaluate the software's performance in identifying non-contrast CT head images containing ICH findings in 260 cases from 5 clinical sites.",None,7/10/2019
30,DeltaView,https://www.accessdata.fda.gov/cdrh_docs/pdf11/K111776.pdf,K111776,"Riverain Medical Group, LLC.",DeltaView is a dedicated post-processing application which registers current and prior chest exams to provide an image that shows areas of change.,LLZ,Chest,X-Ray,SoftView(K092363),None,A MRMC was performed. Radiologists interpreted pairs of images in order to compare the radiologists’ ability to detect valid change when they were aided by the DeltaView image. The results indicated that DeltaView should be a useful adjunct for the interpretation of chest radiographs when looking for a change in a lung nodule.,None,12/28/2011
31,Densitas Densityai,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192973.pdf,K192973,"Densitas, Inc.",Densitas densityai is a software application intended for use with compatible full field digital mammography and digital breast tomosynthesis systems. Densitas densityai provides an ACR BI-RADS Atlas 5th Edition breast density category to aid interpreting physicians in the assessment of breast tissue composition.,LLZ,Breast,"X-Ray, Tomosynthesis",DM-Density,Results from internal verification and validation testing performed in accordance with Densitas' design control processes confirm that densitas densityai product specifications have been met.,None,Breast Density Quantification,2/19/2020
32,DM-Density,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K170540.pdf,K170540,"Densitas, Inc.",DM-Density is a software application intended for use with compatible full field digital mammography systems. DMDensity calculates percent breast density defined as the ratio of fibro-glandular tissue to total breast area estimates. DM-Density provides these numerical values for each breast as well as a density category to aid interpreting physicians in the assessment of breast tissue composition. DM-Density produces adjunctive information. It is not a diagnostic aid.,LLZ,Breast,Mammogram,"iReveal® by iCAD, Inc. (formerly M-Vu® by VuCOMP, Inc.) K132742",Results from internal verification and validation testing performed in accordance with Densitas' design control processes confirm that DM-Density product specifications have been met. Verification testing consisted of unit and integrated system level testing. Validation testing relied on expert radiologist visual assessments of mammography density.,None,Breast Density Quantification(Partial),2/23/2018
33,EchoGo Core,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191171.pdf,K191171,Ultromics Ltd.,EchoGo Core is intended to be used for quantification and reporting of results of cardiovascular function to support physician diagnosis. EchoGo Core is indicated for use in adult populations.,QIH,Heart,Echocardiogram,"TomTec Arena TTA2, EchoMD Automated Ejection Fraction Software",Software verification and validation testing were conducted.,"A formal retrospective, non-interventional validation study was conducted using over 378 previously acquired studies.",Left Ventricle Volume,11/13/2019
34,EchoMD Automated Ejection Fraction Software,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K173780.pdf,K173780,"Bay Labs, Inc.  ","EchoMD automated ejection fraction software is used to process previously acquired transthoracic cardiac ultrasound images, to store images, and to manipulate and make measurements on images using a personal computer or a compatible DICOM-compliant PACS system in order to provide automated estimation of left ventricular ejection fraction.",LLZ,Heart,Echocardiography,LVivo EF Software (K130779),None,"A formal retrospective, non-interventional validation study was conducted using over 300 previously-acquired studies where the biplane method of disks ejection fraction was reported. Variability testing was also performed to demonstrate that EchoMD AutoEF performs acceptably with a variety of image clips and frames from the same patient. EchoMD AutoEF ejection fraction measurements were compared to the biplane method ejection fraction, and a root mean square deviation was calculated (8.29%).",None,6/14/2018
35,FerriSmart Analysis System,https://www.accessdata.fda.gov/cdrh_docs/pdf18/K182218.pdf,K182218,Resonance Health Analysis Service Pty Ltd,FerriSmart is intended to use for measurement of R2 and iron concentration in the liver from MRI scans.,PCS,Abdomen,MRI,FerriScan R2- MRI analysis System (K124065),None,The clinical study had 971 datasets from multiple makes and models of scanner for assessing the performance of the FerriSmart IQX module; assessing the bias and limits of agreement between FerriSmart and FerriScan measurements of LIC on multiple scanners; assessing the diagnostic performance of FerriSmart for predicting FerriScan LIC results above various clinically relevant LIC thresholds on multiple scanners.,None,11/30/2018
36,FractureDetect (FX),https://www.accessdata.fda.gov/cdrh_docs/pdf19/K193417.pdf,K193417,Imagen Technologies,FractureDetect (FX) is a computer-assisted detection and diagnosis (CAD) software device to assist clinicians in detecting fractures during the review of radiographs of the musculoskeletal system.,QBS,"Ankle, Clavicle, Elbow, Femur, forearm, Hip, Humerus, Knee, Pelvis, shoulder, Tibia, Wrist",X-Ray,OsteoDetect,Software verification and validation testing were conducted.,"Imagen conducted a fully-crossed multiple reader, multiple case (MRMC) retrospective reader study to determine the impact of FX on reader performance in diagnosing fractures. 24 clinical readers each evaluated 175 cases.",None,7/30/2020
37,HealthCCS,https://www.accessdata.fda.gov/cdrh_docs/pdf17/K172983.pdf,K172983,Zebra Medical Vision Ltd.,"The HealthCCS Device is intended for use as a non-invasive post-processing software that can be used to evaluate calcified plaques in the coronary arteries, which may be a risk factor for coronary artery disease. The software can be used to generate reports of the total risk category of coronary calcium.",JAK,Heart/Chest,CT,CSCS-001A Calcium Scoring Package(K072737 ),"Safety and performance of the device has been evaluated and verified in accordance with software specifications and applicable performance standards. Software Development and Validation & Verification Processes have been implemented to ensure performance according to specifications, User Requirements and Federal Regulations and Guidance document.","The performance of the device has been validated in a retrospective performance study with 249 cases, where the agreement between the 4-level risk categorization of the Health CCS device has been comparted to the ground truth categorization by 3 radiologists. Adequate overall agreement of .89(95% CI: [.85, .92]) as well as adequate agreement per category were reported. The reproducibility was assessed on 150 studies that were read three times. All Agatston equivalent scores per study were found identical over all three readings.",Coronary Calcium Detection,6/13/2018
